0024356dbbb46b20a2b4df71f7cc03dfa8818139,0a9a7912ff46b944a6a4156754271933b828f01b,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,9425144cefc35b9571d5954fcfb5ec2cfed9c4d3,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,c648df7bf6337bbdc55d91583b9d51d07ffb6e8b,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ee59ca2b7f26067f49d9a1f789ea38c8187e8b8f,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ffc43c1264029c7fc655e190fcb34d079643f34c,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,92a8cc0b0ab50ac5a3cd2f3a596a12eb3a2fd3d1,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,16239b4b9b9215f30e522f01543fe7583033a690,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,0bda64de5d65eafb4ba320c915942a6705e2ce23,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,8fe2266a2255d5592215541bf9ae10acf4d12824,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,7e8f735e4c71d31764782f526d7c3609bc474fab,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ba03b36abc133bad0b0692ea904e5a26ffbb8de7,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,cdc7c381787dee3d0db4d15a292fc1483ccc12a3,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,5cf0d5eba5e5dd8dce668341995eafa3f34bb8b8,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,3eaf65791c7c5eed6901d95a2178be2f0a11846f,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,34351aa2fa256e5b4078a081af0624d3a8701cdb,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,04fa53cfb61af83163258b5c4cbe0883a3fb43e2,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,bf4f6b881d8523c2f673ea70c010e438bc7b5ed9,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,5a2042a3cfcd53f34a9b485c1ac23e0a143ad0fa,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,d630bee3e3f53664cad51f4920ee4295ab16067b,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,06907531e63dd26f3a6dacd2dfc5e6f2f87ca009,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,66861e303573478d20dc030812bae465dc85a7cf,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,42e258ff03a32cbc6c4944a44a83375495518ff6,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,8d36c169bc2475e88c72ba9613e7b93b7752fffd,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,58819c03969a70ff75752ab426fa2ed772f5a2fc,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,23fb6ecb57289f0f5fe3e904f868ec0176bb3680,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,5789d652132510f056c059f36328a205cd90b25c,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,646ad64fb075ab56a53c8fff0a398cd84859b114,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,d1e8250f3306613d39f2fed435a44b0abb4a0936,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ebd76f8e4ce274bd48d94f16fd9aeaa78b5ce005,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,764fea6179cf6e879503edacae0411a3224656d7,1
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ea88970b4c3188f09f388f6f2fa54a6e81aacf08,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,4fa0d9c4c3d17458085ee255b7a4b7c325d59e32,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,9d55e2a990478e2f7ed6b9274b5c866293a229b5,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,d4087613943e80e41d4733a90912ec2e552f7db5,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,627dd7362762e0e1505dd03bc96743b8b9a24ddf,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,198b711915429fa55162e749a0b964755b36a62e,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,e9ec8ee0d0f80f7246007684c97a42afbff31ed7,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,e6abbf8e36912c5ae561e78e517911e1a80b2d84,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,9c1a028299cc2b7f4cbdbe6e19abfc844a6ead6b,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,204e4aa8e1603ac608e1f6432cb10a9dcc892683,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,bce05d56f24f77087ad458653aa8c5f811df4a5a,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,6822f141e257392d9828bb7af9ef36aa6b788b34,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,7caa2c6ed1d35880da65182f537537fff423fc48,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,3635dd1ae4674eb9a6195897f9dfec532cd5d981,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,b5428c769873f179a6301e08b0b29c8a2697b37e,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,bdcac9c01be3ecf6990493fac05440b80e9c0a3b,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,9f83446330a626014c7a78198e420e7d2852349a,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,bbaf7361212e00526b9496d015e63397f8af9c0f,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,920b776768b8c250184e586629830444035d7129,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,c7f85b84776aaaa7cdf1eba083bebe8e09d627a0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,93a7ff35d1dfa5c4e927d99c422d166c2e2644dd,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ca914d53ac1513a5f1cf2f84e147b2d27b93370e,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,418bff91d4ce3cad70ee7288568d4c2cac3ac4cc,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,c22375de268870d7f0fae29d4ea8225bddb25a3c,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,dd83aa247acc354640ddd76f56c75e70f0e331e2,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,1b30cf74cd0d7ec6b39b809f2855415b5cd59d4d,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,bf03ec24f8970f9b78a34cfb3745c008eaa74258,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,69ced04b854b89073c1d03e312ba2fd7628fdfbf,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,a8924217e17c5119333789504576933d9075f5c3,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,8325de856ac97293b0e25ac229bd9fe675658b4e,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,0c683044bddf769c3d57a5187994aba450831e1f,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,25d8d3d4d6dcc8adc0f576f970f95fddc4b0b817,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,231ca797421aaa207946c18366c22326dac55936,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,23fbb5f4bb70dfe0a3a1ca4ba7a5f1de6b299f59,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,d8db7fddae38008f503852dbd7069a59b190fb6e,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,79300b0ab31523ca4518a3a3b8623e2b0b53d79b,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ad6893c45948e199ea7786bc98588e70d020855b,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,6ba764dedc35d0aae37f623f0c0578a536aa7dbc,0
